#                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                       accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                               ------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IMGVR_UViG_3300045988_018431|3300045988|Ga0495776_136004_34                         -          phage-family-interpro-v4 -           6.5e-226  762.0   0.0  7.6e-226  761.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_018480|3300045988|Ga0495776_135921_34                         -          phage-family-interpro-v4 -           6.5e-226  762.0   0.0  7.6e-226  761.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_033150|3300045988|Ga0495776_014013_34                         -          phage-family-interpro-v4 -           6.6e-226  762.0   0.0  7.7e-226  761.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_015623|3300045988|Ga0495776_094441_5                          -          phage-family-interpro-v4 -           6.8e-226  762.0   0.0  8.1e-226  761.7   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_042096|3300045988|Ga0495776_112262_52                         -          phage-family-interpro-v4 -           6.8e-226  762.0   0.0  8.1e-226  761.7   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2849253003_000001|2849253003|2849253003|797503-841941_3                  -          phage-family-interpro-v4 -             9e-226  761.6   0.0  1.1e-225  761.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_055657|3300045988|Ga0495776_139512_49                         -          phage-family-interpro-v4 -           9.1e-226  761.5   0.0  1.1e-225  761.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2627853506_000003|2627853506|2627853753|527388-565977_1                  -          phage-family-interpro-v4 -           9.5e-226  761.5   0.0  1.1e-225  761.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_117147|3300045988|Ga0495776_139604_35                         -          phage-family-interpro-v4 -           9.7e-226  761.4   0.0  1.1e-225  761.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300030447_000010|3300030447|Ga0168849_100860_1                          -          phage-family-interpro-v4 -           9.8e-226  761.4   0.0  1.1e-225  761.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_028388|3300045988|Ga0495776_020427_34                         -          phage-family-interpro-v4 -           9.8e-226  761.4   0.0  1.1e-225  761.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2648501512_000003|2648501512|2648536817|90763-132166_48                  -          phage-family-interpro-v4 -           1.4e-225  760.9   0.0  1.7e-225  760.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2728369042_000003|2728369042|2728390800|90763-132166_48                  -          phage-family-interpro-v4 -           1.4e-225  760.9   0.0  1.7e-225  760.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2519899668_000002|2519899668|2519941456|175857-226672_5                  -          phage-family-interpro-v4 -           1.4e-225  760.9   0.0  1.7e-225  760.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_105780|3300045988|Ga0495776_094566_45                         -          phage-family-interpro-v4 -           1.5e-225  760.8   0.0  1.8e-225  760.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_017141|3300045988|Ga0495776_002092_25                         -          phage-family-interpro-v4 -           1.8e-225  760.5   0.0  2.2e-225  760.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_018584|3300045988|Ga0495776_027535_55                         -          phage-family-interpro-v4 -           1.8e-225  760.5   0.0  2.2e-225  760.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_011026|3300045988|Ga0495776_020805_6                          -          phage-family-interpro-v4 -           1.9e-225  760.5   0.0  2.3e-225  760.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_019880|3300045988|Ga0495776_139402_3                          -          phage-family-interpro-v4 -           2.2e-225  760.3   0.0  2.5e-225  760.1   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_018508|3300045988|Ga0495776_092863_26                         -          phage-family-interpro-v4 -           2.2e-225  760.3   0.0  2.5e-225  760.1   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300030431_000013|3300030431|Ga0134575_100067_47                         -          phage-family-interpro-v4 -           2.2e-225  760.3   0.0  2.6e-225  760.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_028403|3300045988|Ga0495776_112425_50                         -          phage-family-interpro-v4 -           2.2e-225  760.3   0.0  2.6e-225  760.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008421|3300045988|Ga0495776_020724_4                          -          phage-family-interpro-v4 -           2.4e-225  760.1   0.0  2.8e-225  759.9   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300039361_000018|3300039361|Ga0169254_00185_46                          -          phage-family-interpro-v4 -           2.7e-225  760.0   0.0  3.1e-225  759.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_018440|3300045988|Ga0495776_018605_45                         -          phage-family-interpro-v4 -           2.7e-225  760.0   0.0  3.1e-225  759.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_020655|3300045988|Ga0495776_018656_31                         -          phage-family-interpro-v4 -           2.7e-225  760.0   0.0  3.1e-225  759.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2616644965_000002|2616644965|2616653655|32181-72004_2                    -          phage-family-interpro-v4 -           3.2e-225  759.7   0.0  3.9e-225  759.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2651869809_000003|2651869809|2651905002|32098-71921_2                    -          phage-family-interpro-v4 -           3.2e-225  759.7   0.0  3.9e-225  759.5   0.0   1.0   1   0   0   1   1   1   1 -
