# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/IMG_VR.fasta
# output directed to file:         output/IMG_VR_hmmout.txt
# per-seq hits tabular output:     output/IMG_VR_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                                                            Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                                                                            -----------
   3.7e-225  759.5   0.0   4.2e-225  759.3   0.0    1.0  1  IMGVR_UViG_3300045988_026355|3300045988|Ga0495776_114148_54                          
   3.7e-225  759.5   0.0   4.4e-225  759.3   0.0    1.0  1  IMGVR_UViG_3300045988_022600|3300045988|Ga0495776_135572_7                           
   3.8e-225  759.5   0.0   4.4e-225  759.3   0.0    1.0  1  IMGVR_UViG_3300029483_000022|3300029483|Ga0244102_100686_8                           
   3.8e-225  759.5   0.0   4.4e-225  759.3   0.0    1.0  1  IMGVR_UViG_3300045988_019407|3300045988|Ga0495776_018499_45                          
   3.9e-225  759.5   0.0   4.6e-225  759.2   0.0    1.0  1  IMGVR_UViG_3300045988_016753|3300045988|Ga0495776_139898_49                          
   3.9e-225  759.4   0.4   4.7e-225  759.2   0.4    1.0  1  IMGVR_UViG_3300045988_044190|3300045988|Ga0495776_111088_13                          
   3.9e-225  759.4   0.0   4.6e-225  759.2   0.0    1.0  1  IMGVR_UViG_3300045988_009255|3300045988|Ga0495776_018627_1                           
   4.1e-225  759.4   0.0   4.7e-225  759.2   0.0    1.0  1  IMGVR_UViG_3300045988_010388|3300045988|Ga0495776_019701_26                          
   4.2e-225  759.3   0.0     5e-225  759.1   0.0    1.0  1  IMGVR_UViG_3300045988_034702|3300045988|Ga0495776_002535_43                          
   4.4e-225  759.3   0.0   5.4e-225  759.0   0.0    1.0  1  IMGVR_UViG_3300045988_012339|3300045988|Ga0495776_019366_4                           
   4.4e-225  759.3   0.0   5.4e-225  759.0   0.0    1.0  1  IMGVR_UViG_3300045988_012375|3300045988|Ga0495776_019365_4                           
   4.5e-225  759.2   0.0   5.4e-225  759.0   0.0    1.0  1  IMGVR_UViG_3300014797_000004|3300014797|Ga0134414_1000200_7                          
   5.3e-225  759.0   0.0   6.2e-225  758.8   0.0    1.0  1  IMGVR_UViG_3300045988_021168|3300045988|Ga0495776_019517_46                          
   5.8e-225  758.9   0.0   6.7e-225  758.7   0.0    1.0  1  IMGVR_UViG_3300045988_038043|3300045988|Ga0495776_020770_36                          
   6.2e-225  758.8   0.0   7.2e-225  758.6   0.0    1.0  1  IMGVR_UViG_3300045988_011348|3300045988|Ga0495776_019643_6                           
   6.6e-225  758.7   0.0   7.9e-225  758.4   0.0    1.0  1  IMGVR_UViG_3300045988_028499|3300045988|Ga0495776_020377_21                          
   6.8e-225  758.6   1.2     8e-225  758.4   1.2    1.0  1  IMGVR_UViG_3300045988_050198|3300045988|Ga0495776_010081_29                          
   6.8e-225  758.6   1.2     8e-225  758.4   1.2    1.0  1  IMGVR_UViG_3300045988_054358|3300045988|Ga0495776_002208_10                          
   6.9e-225  758.6   0.0   8.4e-225  758.3   0.0    1.0  1  IMGVR_UViG_2556921653_000002|2556921653|2556980968|459888-502029_47                  
     7e-225  758.6   0.0   8.2e-225  758.4   0.0    1.0  1  IMGVR_UViG_3300045988_011006|3300045988|Ga0495776_055773_15                          
     7e-225  758.6   0.0   8.2e-225  758.4   0.0    1.0  1  IMGVR_UViG_3300045988_019424|3300045988|Ga0495776_055805_8                           
   7.9e-225  758.4   0.0   9.2e-225  758.2   0.0    1.0  1  IMGVR_UViG_3300045988_026928|3300045988|Ga0495776_012679_51                          
   7.9e-225  758.4   0.0   9.6e-225  758.2   0.0    1.0  1  IMGVR_UViG_2784746681_000002|2784746681|2784753341|73361-113655_2                    
   8.1e-225  758.4   0.0   9.4e-225  758.2   0.0    1.0  1  IMGVR_UViG_3300045988_031525|3300045988|Ga0495776_010094_57                          
   8.3e-225  758.4   0.0   9.7e-225  758.1   0.0    1.0  1  IMGVR_UViG_3300045988_017178|3300045988|Ga0495776_012766_52                          
